insert into [test_format] ([FieldName], [Caption], [Type], [Unitless], [MetricsUnitName], [MetricsConverter], [ImperialUnitName], [ImperialConverter], [Format], [GroupName], [DefaultDisplayOrder], [SourceTable]) values (
Location, Location, t, -1, , 0, , 0, %s, Job Status, 66, jobrecord
TypeWork, Type Work, t, -1, , 0, , 0, %s, Job Status, 67, jobrecord
HIPTypeWork, HIP Type Work, t, -1, , 0, , 0, %s, Job Status, 68, jobrecord
IncludedInHIP91, Included In HIP 91, t, -1, , 0, , 0, %s, Job Status, 69, jobrecord
DateUpdated, Year, t, -1, , 0, , 0, %s, Accident, 70, accident
__SpecialAccident1, Number of Accidents This Section, i, -1, , 0, , 0, %d, Accident, 71, accident
__SpecialAccident2, Number of Fatalities This Section, i, -1, , 0, , 0, %d, Accident, 72, accident
__SpecialAccident3, Number of Injuries This Section, i, -1, , 0, , 0, %d, Accident, 73, accident
__SpecialAccident4, Number in Construction Zone, i, -1, , 0, , 0, %d, Accident, 74, accident
DateUpdated, Layers Data Date, t, -1, , 0, , 0, %s, Layers, 75, layers
Layer1Thickness, Layer 1 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 76, layers
Layer2Thickness, Layer 2 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 77, layers
Layer3Thickness, Layer 3 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 78, layers
Layer4Thickness, Layer 4 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 79, layers
Layer5Thickness, Layer 5 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 80, layers
Layer6Thickness, Layer 6 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 81, layers
Layer7Thickness, Layer 7 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 82, layers
Layer8Thickness, Layer 8 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 83, layers
Layer9Thickness, Layer 9 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 84, layers
Layer10Thickness, Layer 10 Thickness, f, -1, , 0, , 0, %5.2f, Layers, 85, layers
PavementStiffness, Pavement Stiffness, f, -1, , 0, , 0, %5.2f, Layers, 86, layers
BaseStiffness, Base Stiffness, f, -1, , 0, , 0, %5.2f, Layers, 87, layers
SubgradeStiffness, Subgrade Stiffness, f, -1, , 0, , 0, %5.2f, Layers, 88, layers
SubgradeRValue, Subgrade RValue, f, -1, , 0, , 0, %5.2f, Layers, 89, layers
